global DFT,global FCI,huz emb FCI,mu emb FCI,global H,huz H emb,mu H emb,global n qubits ,huz n qubits ,mu n qubits ,N active AOs 
-74.27718025259216,-74.00063863446294,-74.00857552307573,-74.00857593338529,2110,1079,1079,14,12,12,4
-75.1227730296951,-74.85181975138019,-74.86475446838813,-74.8647549349538,2110,1079,1079,14,12,12,4
-75.17006832317483,-74.90065800549334,-74.91822542056585,-74.91822589662819,2110,1079,1079,14,12,12,4
-75.05738351641465,-74.80753922486934,-74.84073901154511,-74.84073949400387,2110,1079,1079,14,12,12,4
-74.96253535398266,-74.77626326491021,-74.81690169620074,-74.81690217770574,2110,1079,1079,14,12,12,4
-74.89057592300384,-74.77169187348372,-74.82019219650857,-74.82019267652701,2542,1351,1387,14,12,12,4
-74.87415194930287,-74.77171855194186,-74.82024090208003,-74.82024138243675,2190,1819,1819,14,12,12,4
-74.87234473366995,-74.77171837036418,-74.82031454289256,-74.82031502311673,3278,1791,1791,14,12,12,4
