global DFT,global FCI,huz emb FCI,mu emb FCI,global H,huz H emb,mu H emb,global n qubits ,huz n qubits ,mu n qubits ,N active AOs 
-74.27718025259212,-74.00063863446294,-73.9459415663068,-73.94594459563733,2110,1079,1079,14,12,12,4
-75.12277302969513,-74.85181975138013,-74.86488574969931,-74.86488621269962,2110,1079,1079,14,12,12,4
-75.17006832317483,-74.90065800549328,-74.93610057094598,-74.93610071310268,2110,1079,1079,14,12,12,4
-75.05738351641473,-74.8075392248694,-74.84732843730228,-74.84732846232225,2110,1079,1079,14,12,12,4
-74.96253535398249,-74.77626326491028,-74.7555056446599,-74.75550565020168,2110,1079,1079,14,12,12,4
-74.89057642081949,-74.77169191342755,-74.68391254935324,-74.68391254805664,2378,1159,1275,14,12,12,4
-74.87415136190663,-74.77171855186509,-74.66747309540558,-74.66747309373585,2354,1131,1143,14,12,12,4
-74.87238474895511,-74.77171836156221,-74.66563836719477,-74.66563836521902,3282,1719,1799,14,12,12,4
